ejecucion,nodo,grado,etiqueta
0,0,638,1
0,1,638,1
0,2,638,1
0,3,638,1
0,4,638,1
0,5,638,1
0,6,602,1
0,7,638,1
0,8,602,1
0,9,600,1
0,10,602,1
0,11,602,1
0,12,638,1
0,13,638,1
0,14,638,1
0,15,638,1
0,16,602,1
0,17,600,1
0,18,602,1
0,19,638,1
0,20,600,1
0,21,600,1
0,22,600,1
0,23,638,1
0,24,602,1
0,25,600,1
0,26,602,1
0,27,638,1
0,28,602,1
0,29,638,1
0,30,602,1
0,31,600,1
0,32,602,1
0,33,602,1
0,34,638,1
0,35,602,1
0,36,638,1
0,37,602,1
0,38,600,1
0,39,602,1
0,40,602,1
0,41,602,1
0,42,578,1
0,43,602,1
0,44,578,1
0,45,576,1
0,46,578,1
0,47,578,1
0,48,638,1
0,49,602,1
0,50,600,1
0,51,602,1
0,52,602,1
0,53,578,1
0,54,576,1
0,55,578,1
0,56,600,1
0,57,576,1
0,58,576,1
0,59,576,1
0,60,602,1
0,61,578,1
0,62,576,1
0,63,578,1
0,64,602,1
0,65,578,1
0,66,602,1
0,67,578,1
0,68,576,1
0,69,578,1
0,70,578,1
0,71,638,1
0,72,638,1
0,73,638,1
0,74,638,1
0,75,602,1
0,76,600,1
0,77,602,1
0,78,638,1
0,79,600,1
0,80,600,1
0,81,600,1
0,82,638,1
0,83,602,1
0,84,600,1
0,85,602,1
0,86,638,1
0,87,602,1
0,88,600,1
0,89,602,1
0,90,602,1
0,91,578,1
0,92,576,1
0,93,578,1
0,94,600,1
0,95,576,1
0,96,576,1
0,97,576,1
0,98,602,1
0,99,578,1
0,100,576,1
0,101,578,1
0,102,638,1
0,103,600,1
0,104,600,1
0,105,600,1
0,106,600,1
0,107,576,1
0,108,576,1
0,109,576,1
0,110,600,1
0,111,576,1
0,112,576,1
0,113,576,1
0,114,600,1
0,115,576,1
0,116,576,1
0,117,576,1
0,118,638,1
0,119,602,1
0,120,600,1
0,121,602,1
0,122,602,1
0,123,578,1
0,124,576,1
0,125,578,1
0,126,600,1
0,127,576,1
0,128,576,1
0,129,576,1
0,130,602,1
0,131,578,1
0,132,576,1
0,133,578,1
0,134,638,1
0,135,602,1
0,136,638,1
0,137,602,1
0,138,600,1
0,139,602,1
0,140,602,1
0,141,602,1
0,142,578,1
0,143,602,1
0,144,578,1
0,145,576,1
0,146,578,1
0,147,578,1
0,148,638,1
0,149,602,1
0,150,600,1
0,151,602,1
0,152,602,1
0,153,578,1
0,154,576,1
0,155,578,1
0,156,600,1
0,157,576,1
0,158,576,1
0,159,576,1
0,160,602,1
0,161,578,1
0,162,576,1
0,163,578,1
0,164,602,1
0,165,578,1
0,166,602,1
0,167,578,1
0,168,576,1
0,169,578,1
0,170,578,1
0,171,638,1
0,172,602,1
0,173,638,1
0,174,602,1
0,175,600,1
0,176,602,1
0,177,602,1
0,178,602,1
0,179,578,1
0,180,602,1
0,181,578,1
0,182,576,1
0,183,578,1
0,184,578,1
0,185,638,1
0,186,602,1
0,187,600,1
0,188,602,1
0,189,602,1
0,190,578,1
0,191,576,1
0,192,578,1
0,193,600,1
0,194,576,1
0,195,576,1
0,196,576,1
0,197,602,1
0,198,578,1
0,199,576,1
0,200,578,1
0,201,602,1
0,202,578,1
0,203,602,1
0,204,578,1
0,205,576,1
0,206,578,1
0,207,578,1
0,208,602,1
0,209,578,1
0,210,602,1
0,211,578,1
0,212,576,1
0,213,578,1
0,214,578,1
0,215,578,1
0,216,562,1
0,217,578,1
0,218,562,1
0,219,560,1
0,220,562,1
0,221,562,1
0,222,602,1
0,223,578,1
0,224,576,1
0,225,578,1
0,226,578,1
0,227,562,1
0,228,560,1
0,229,562,1
0,230,576,1
0,231,560,1
0,232,560,1
0,233,560,1
0,234,578,1
0,235,562,1
0,236,560,1
0,237,562,1
0,238,578,1
0,239,562,1
0,240,578,1
0,241,562,1
0,242,560,1
0,243,562,1
0,244,562,1
0,245,638,1
0,246,602,1
0,247,600,1
0,248,602,1
0,249,602,1
0,250,578,1
0,251,576,1
0,252,578,1
0,253,600,1
0,254,576,1
0,255,576,1
0,256,576,1
0,257,602,1
0,258,578,1
0,259,576,1
0,260,578,1
0,261,602,1
0,262,578,1
0,263,576,1
0,264,578,1
0,265,578,1
0,266,562,1
0,267,560,1
0,268,562,1
0,269,576,1
0,270,560,1
0,271,560,1
0,272,560,1
0,273,578,1
0,274,562,1
0,275,560,1
0,276,562,1
0,277,600,1
0,278,576,1
0,279,576,1
0,280,576,1
0,281,576,1
0,282,560,1
0,283,560,1
0,284,560,1
0,285,576,1
0,286,560,1
0,287,560,1
0,288,560,1
0,289,576,1
0,290,560,1
0,291,560,1
0,292,560,1
0,293,602,1
0,294,578,1
0,295,576,1
0,296,578,1
0,297,578,1
0,298,562,1
0,299,560,1
0,300,562,1
0,301,576,1
0,302,560,1
0,303,560,1
0,304,560,1
0,305,578,1
0,306,562,1
0,307,560,1
0,308,562,1
0,309,602,1
0,310,578,1
0,311,602,1
0,312,578,1
0,313,576,1
0,314,578,1
0,315,578,1
0,316,578,1
0,317,562,1
0,318,578,1
0,319,562,1
0,320,560,1
0,321,562,1
0,322,562,1
0,323,602,1
0,324,578,1
0,325,576,1
0,326,578,1
0,327,578,1
0,328,562,1
0,329,560,1
0,330,562,1
0,331,576,1
0,332,560,1
0,333,560,1
0,334,560,1
0,335,578,1
0,336,562,1
0,337,560,1
0,338,562,1
0,339,578,1
0,340,562,1
0,341,578,1
0,342,562,1
0,343,560,1
0,344,562,1
0,345,562,1
0,346,638,1
0,347,638,1
0,348,638,1
0,349,638,1
0,350,602,1
0,351,600,1
0,352,602,1
0,353,638,1
0,354,600,1
0,355,600,1
0,356,600,1
0,357,638,1
0,358,602,1
0,359,600,1
0,360,602,1
